"Set font color for custom message. Example: #B2B2B2 <br/>
                                Only available in PRO version of this extension. <br>
                                <a style=""font-size: 14px"" target=""_blank"" href=""https://www.weltpixel.com/advance-product-quick-view.html"">Upgrade to Pro version</a> to enable this functionality.","Set font color for custom message. Example: #B2B2B2 <br/>
                                Only available in PRO version of this extension. <br>
                                <a style=""font-size: 14px"" target=""_blank"" href=""https://www.weltpixel.com/advance-product-quick-view.html"">Upgrade to Pro version</a> to enable this functionality."
"Custom Global Font Size","Custom Global Font Size"
"Custom Css","Custom Css"
"Seo Settings","Seo Settings"
"Add no follow for the quickview link","Add no follow for the quickview link"
"Add no index","Add no index"
"Add canonical link","Add canonical link"
"Ajax Cart Confirmation Pop-up General Settings (Pro version only)","Ajax Cart Confirmation Pop-up General Settings (Pro version only)"
"Enable Ajax Cart Confirmation pop-up","Enable Ajax Cart Confirmation pop-up"
"Popup Title","Popup Title"
"Display Custom CMS Block","Display Custom CMS Block"
"Select CMS Block","Select CMS Block"
"Display Carousel","Display Carousel"
"Carousel Type","Carousel Type"
"Carousel Title","Carousel Title"
